Rank,Model,# Params,Submission,Under 10M Resolution,Spacenet2,Treesatai,Flair2,Dynamic_Earthnet,Spacenet7
1,DinoV3-ViT-L-SAT,300M,114be1f0,88.4 ± 0.2,73.4 ± 0.7,93.7 ± 2.5,98.5 ± 0.3,74.5 ± 9.6,89.2 ± 0.6
2,DinoV3-ConvNext-Large-WEB,230M,114be1f0,88.3 ± 0.2,95.3 ± 1.1,92.5 ± 2.5,80.6 ± 2.1,28.3 ± 0.5,92.5 ± 0.3
3,ConvNext-XLarge-ImageNet,390M,114be1f0,81.1 ± 0.1,85.8 ± 0.8,84.2 ± 2.1,65.7 ± 1.8,73.4 ± 1.8,91.5 ± 1.7
4,ConvNext-Large-ImageNet,230M,114be1f0,78.7 ± 0.1,81.1 ± 0.6,86.0 ± 2.1,71.7 ± 1.0,44.2 ± 10.5,87.1 ± 1.2
5,DOFA-ViT 300M,300M,114be1f0,73.5 ± 0.1,64.6 ± 1.3,78.4 ± 0.2,83.2 ± 0.7,40.1 ± 5.2,76.0 ± 1.0
6,DOFA-ViT 300M,300M,2ce4a907,73.5 ± 0.1,64.6 ± 1.3,78.4 ± 0.2,83.2 ± 0.7,40.1 ± 5.2,76.0 ± 1.0
7,Clay-V1 ViT-B,100M,114be1f0,67.4 ± 0.2,65.8 ± 1.3,69.4 ± 0.8,65.6 ± 0.3,49.8 ± 4.5,96.9 ± 1.0
8,Clay-V1 ViT-B,100M,2ce4a907,67.4 ± 0.2,65.8 ± 1.3,69.4 ± 0.8,65.6 ± 0.3,49.8 ± 4.5,96.9 ± 1.0
9,DOFA-ViT-B,100M,114be1f0,65.0 ± 0.2,49.6 ± 3.1,76.0 ± 0.8,65.4 ± 2.6,49.9 ± 2.4,76.1 ± 1.1
10,TerraMind-V1-Large,300M,114be1f0,63.2 ± 0.1,64.3 ± 1.6,50.6 ± 1.0,42.6 ± 2.7,96.2 ± 1.6,76.9 ± 1.1
11,TerraMind-V1-Large,300M,2ce4a907,63.2 ± 0.1,64.3 ± 1.6,50.6 ± 1.0,42.6 ± 2.7,96.2 ± 1.6,76.9 ± 1.1
12,Prithvi-EO-V2 600M TL,600M,114be1f0,56.0 ± 0.1,76.3 ± 0.5,52.3 ± 1.3,40.7 ± 1.0,30.8 ± 2.3,90.4 ± 0.9
13,Satlas-SwinB-Naip,100M,114be1f0,50.1 ± 0.1,49.2 ± 2.5,42.4 ± 1.2,59.0 ± 1.2,5.6 ± 3.6,84.6 ± 0.4
14,Satlas-Swin 100M,100M,114be1f0,48.1 ± 0.2,41.5 ± 0.6,47.8 ± 1.3,40.7 ± 0.9,50.8 ± 2.8,84.8 ± 0.4
15,Prithvi-EO-V2 300M TL,300M,114be1f0,45.1 ± 0.3,61.8 ± 0.3,35.0 ± 1.9,32.9 ± 3.0,41.7 ± 3.1,81.4 ± 0.1
16,Satlas-Resnet50,25M,114be1f0,44.5 ± 0.3,39.6 ± 0.7,27.3 ± 2.9,35.8 ± 0.8,67.0 ± 11.4,80.6 ± 0.5
17,Resnet50-ImageNet,25M,114be1f0,44.0 ± 0.2,52.8 ± 1.4,28.7 ± 3.4,42.6 ± 2.3,23.2 ± 1.9,81.5 ± 0.3
18,TerraMind-V1-Base,100M,114be1f0,43.3 ± 0.2,41.0 ± 1.8,39.8 ± 0.9,40.5 ± 0.2,34.1 ± 11.8,75.4 ± 0.7
19,Resnet50-MOCO,25M,114be1f0,38.7 ± 0.1,24.0 ± 4.1,23.6 ± 1.1,28.7 ± 1.0,60.9 ± 0.5,73.1 ± 0.1
20,Resnet50-DINO,25M,114be1f0,36.1 ± 0.2,19.2 ± 2.3,23.4 ± 0.9,11.5 ± 3.9,73.6 ± 1.0,74.3 ± 1.6
21,Resnet50-DeCUR,25M,114be1f0,31.5 ± 0.2,3.3 ± 1.6,20.8 ± 4.9,18.7 ± 0.6,54.7 ± 0.9,72.8 ± 1.0
